"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";;;
"#Hermia_MND,""#Lysander_MND"",0.683487972245254,79,""Come, thou gentle day, For if but once thou show me thy gray light, I'll find Demetrius and revenge this spite."",""Pray thou for us, And good luck grant thee thy Demetrius.""";;;
"#Hermia_MND,""#Lysander_MND"",0.712109526848549,20,""As you on him, Demetrius dote on you!"",""Pray thou for us, And good luck grant thee thy Demetrius.""";;;
"#Hermia_MND,""#Lysander_MND"",0.726512099883521,64,""Demetrius, I will keep my word with thee."",""Pray thou for us, And good luck grant thee thy Demetrius.""";;;
"#Hermia_MND,""#Helena_MND"",0.57215970320429,122,""And I have found Demetrius like a jewel, Mine own and not mine own."",""Ah, good Demetrius, wilt thou give him me?""";;;
"#Hermia_MND,""#Helena_MND"",0.589777495182791,56,""-  Lysander, if you live, good sir, awake."",""Lysander and myself will fly this place.""";;;
"#Hermia_MND,""#Helena_MND"",0.598930961987999,109,""He followed you";" for love, I followed him."",""The more I hate, the more he follows me.""";;
"#Hermia_MND,""#Helena_MND"",0.604360152038858,91,""And wherefore doth Lysander Deny your love (so rich within his soul) And tender me, forsooth, affection, But by your setting on, by your consent?"",""What love could press Lysander from my side?""";;;
"#Hermia_MND,""#Helena_MND"",0.611641490897531,11,""Through Athens I am thought as fair as she."",""Before the time I did Lysander see Seemed Athens as a paradise to me.""";;;
"#Hermia_MND,""#Helena_MND"",0.61357987852582,44,""I'll follow thee and make a heaven of hell To die upon the hand I love so well."",""O, then, what graces in my love do dwell That he hath turned a heaven unto a hell!""";;;
"#Hermia_MND,""#Helena_MND"",0.615173278130794,48,""The more my prayer, the lesser is my grace."",""I do entreat your Grace to pardon me.""";;;
"#Hermia_MND,""#Helena_MND"",0.620957502732606,111,""And now, so you will let me quiet go, To Athens will I bear my folly back And follow you no further."",""And in the wood where often you and I Upon faint primrose beds were wont to lie, Emptying our bosoms of their counsel sweet, There my Lysander and myself shall meet And thence from Athens turn away our eyes To seek new friends and stranger companies.""";;;
"#Hermia_MND,""#Helena_MND"",0.732413832481346,45,""Stay, though thou kill me, sweet Demetrius."",""Pray thou for us, And good luck grant thee thy Demetrius.""";;;
"#Hermia_MND,""#Helena_MND"",0.736127373941103,8,""The more I love, the more he hateth me."",""The more I hate, the more he follows me.""";;;
"#Hermia_MND,""#RobinGoodfellow_MND"",0.487946876742208,11,""Your servant shall do so."",""Pray thou for us, And good luck grant thee thy Demetrius.""";;;
"#Hermia_MND,""#RobinGoodfellow_MND"",0.491084520340351,47,""And so far blameless proves my enterprise That I have 'nointed an Athenian's eyes";" And so far am I glad it so did sort, As this their jangling I esteem a sport."",""And in the wood where often you and I Upon faint primrose beds were wont to lie, Emptying our bosoms of their counsel sweet, There my Lysander and myself shall meet And thence from Athens turn away our eyes To seek new friends and stranger companies.""";;
"#Hermia_MND,""#RobinGoodfellow_MND"",0.498759487555411,46,""Did not you tell me I should know the man By the Athenian garments he had on?"",""And in the wood where often you and I Upon faint primrose beds were wont to lie, Emptying our bosoms of their counsel sweet, There my Lysander and myself shall meet And thence from Athens turn away our eyes To seek new friends and stranger companies.""";;;
"#Hermia_MND,""#RobinGoodfellow_MND"",0.500570299595579,26,""Near to her close and consecrated bower, While she was in her dull and sleeping hour, A crew of patches, rude mechanicals, That work for bread upon Athenian stalls, Were met together to rehearse a play Intended for great Theseus' nuptial day."",""And in the wood where often you and I Upon faint primrose beds were wont to lie, Emptying our bosoms of their counsel sweet, There my Lysander and myself shall meet And thence from Athens turn away our eyes To seek new friends and stranger companies.""";;;
"#Hermia_MND,""#RobinGoodfellow_MND"",0.505607298587161,18,""When thou wak'st, let love forbid Sleep his seat on thy eyelid."",""Take comfort: he no more shall see my face.""";;;
"#Hermia_MND,""#RobinGoodfellow_MND"",0.507465623893938,68,""When thou wak'st, Thou tak'st True delight In the sight Of thy former lady's eye."",""Thou driv'st me past the bounds Of maiden's patience.""";;;
"#Hermia_MND,""#RobinGoodfellow_MND"",0.507842901101417,14,""This is he my master said Despisèd the Athenian maid."",""And in the wood where often you and I Upon faint primrose beds were wont to lie, Emptying our bosoms of their counsel sweet, There my Lysander and myself shall meet And thence from Athens turn away our eyes To seek new friends and stranger companies.""";;;
"#Hermia_MND,""#RobinGoodfellow_MND"",0.533144086102117,58,""He is defiled That draws a sword on thee."",""Hast thou slain him, then?""";;;
"#Hermia_MND,""#RobinGoodfellow_MND"",0.563030442012238,80,""If you pardon, we will mend."",""I do entreat your Grace to pardon me.""";;;
"#Hermia_MND,""#RobinGoodfellow_MND"",0.620617383590381,12,""Through the forest have I gone, But Athenian found I none On whose eyes I might approve This flower's force in stirring love."",""And in the wood where often you and I Upon faint primrose beds were wont to lie, Emptying our bosoms of their counsel sweet, There my Lysander and myself shall meet And thence from Athens turn away our eyes To seek new friends and stranger companies.""";;;
"#Hermia_MND,""#Oberon_MND"",0.524019543959534,37,""What thou seest when thou dost wake Do it for thy true love take."",""Pray thou for us, And good luck grant thee thy Demetrius.""";;;
"#Hermia_MND,""#Oberon_MND"",0.534074107324032,9,""Give me that boy and I will go with thee."",""Pray thou for us, And good luck grant thee thy Demetrius.""";;;
"#Hermia_MND,""#Oberon_MND"",0.541770829379912,45,""This is the same Athenian."",""Before the time I did Lysander see Seemed Athens as a paradise to me.""";;;
"#Hermia_MND,""#Oberon_MND"",0.561637081947667,54,""-  When thou wak'st, if she be by, Beg of her for remedy."",""Thou driv'st me past the bounds Of maiden's patience.""";;;
"#Hermia_MND,""#Oberon_MND"",0.571719603170526,31,""Take thou some of it, and seek through this grove."",""Pray thou for us, And good luck grant thee thy Demetrius.""";;;
"#Hermia_MND,""#Oberon_MND"",0.573425999141272,44,""But hast thou yet latched the Athenian's eyes With the love juice, as I did bid thee do?"",""And in the wood where often you and I Upon faint primrose beds were wont to lie, Emptying our bosoms of their counsel sweet, There my Lysander and myself shall meet And thence from Athens turn away our eyes To seek new friends and stranger companies.""";;;
"#Hermia_MND,""#Oberon_MND"",0.578150249661688,59,""Like to Lysander sometime frame thy tongue";" Then stir Demetrius up with bitter wrong."",""If thou hast slain Lysander in his sleep, Being o'er shoes in blood, plunge in the deep And kill me too.""";;
"#Hermia_MND,""#Oberon_MND"",0.595678744971232,26,""I pray thee give it me."",""Pray thou for us, And good luck grant thee thy Demetrius.""";;;
"#Hermia_MND,""#Oberon_MND"",0.600986953734037,10,""Thou shalt not from this grove Till I torment thee for this injury."",""Pray thou for us, And good luck grant thee thy Demetrius.""";;;
"#Hermia_MND,""#Oberon_MND"",0.641687734397447,60,""And sometime rail thou like Demetrius."",""Pray thou for us, And good luck grant thee thy Demetrius.""";;;
"#Hermia_MND,""#Titania_MND"",0.459864823205429,31,""Thou shalt remain here whether thou wilt or no."",""So will I grow, so live, so die, my lord, Ere I will yield my virgin patent up Unto his Lordship whose unwishèd yoke My soul consents not to give sovereignty.""";;;
"#Hermia_MND,""#Titania_MND"",0.468105343508124,4,""Why art thou here, Come from the farthest steep of India, But that, forsooth, the bouncing Amazon, Your buskined mistress and your warrior love, To Theseus must be wedded, and you come To give their bed joy and prosperity?"",""Then let us teach our trial patience Because it is a customary cross, As due to love as thoughts and dreams and sighs, Wishes and tears, poor fancy's followers.""";;;
"#Hermia_MND,""#Titania_MND"",0.477633765822555,28,""Mine ear is much enamored of thy note, So is mine eye enthrallèd to thy shape, And thy fair virtue's force perforce doth move me On the first view to say, to swear, I love thee."",""My good Lysander, I swear to thee by Cupid's strongest bow, By his best arrow with the golden head, By the simplicity of Venus' doves, By that which knitteth souls and prospers loves, And by that fire which burned the Carthage queen When the false Trojan under sail was seen, By all the vows that ever men have broke (In number more than ever women spoke), In that same place thou hast appointed me, Tomorrow truly will I meet with thee.""";;;
"#Hermia_MND,""#Titania_MND"",0.479707256231487,34,""I'll give thee fairies to attend on thee, And they shall fetch thee jewels from the deep And sing while thou on pressèd flowers dost sleep."",""My good Lysander, I swear to thee by Cupid's strongest bow, By his best arrow with the golden head, By the simplicity of Venus' doves, By that which knitteth souls and prospers loves, And by that fire which burned the Carthage queen When the false Trojan under sail was seen, By all the vows that ever men have broke (In number more than ever women spoke), In that same place thou hast appointed me, Tomorrow truly will I meet with thee.""";;;
"#Hermia_MND,""#Titania_MND"",0.484770521620679,50,""O, how I love thee!"",""My good Lysander, I swear to thee by Cupid's strongest bow, By his best arrow with the golden head, By the simplicity of Venus' doves, By that which knitteth souls and prospers loves, And by that fire which burned the Carthage queen When the false Trojan under sail was seen, By all the vows that ever men have broke (In number more than ever women spoke), In that same place thou hast appointed me, Tomorrow truly will I meet with thee.""";;;
"#Hermia_MND,""#Titania_MND"",0.498801750361711,47,""Sleep thou, and I will wind thee in my arms."",""And hast thou killed him sleeping?""";;;
"#Hermia_MND,""#Titania_MND"",0.499112036345554,35,""And I will purge thy mortal grossness so That thou shalt like an airy spirit go."",""So will I grow, so live, so die, my lord, Ere I will yield my virgin patent up Unto his Lordship whose unwishèd yoke My soul consents not to give sovereignty.""";;;
"#Hermia_MND,""#Titania_MND"",0.521742164550964,29,""Thou art as wise as thou art beautiful."",""Pray thou for us, And good luck grant thee thy Demetrius.""";;;
"#Hermia_MND,""#Titania_MND"",0.543570329027764,51,""How I dote on thee!"",""Pray thou for us, And good luck grant thee thy Demetrius.""";;;
"#Hermia_MND,""#Titania_MND"",0.600412752924336,27,""I pray thee, gentle mortal, sing again."",""Pray thou for us, And good luck grant thee thy Demetrius.""";;;
