"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";
"#Helena_MND,""#Demetrius_MND"",0.503258910658631,15,""O, why rebuke you him that loves you so?"",""The more I love, the more he hateth me.""";
"#Helena_MND,""#Demetrius_MND"",0.505456970914051,75,""And thus she means, videlicet -"",""She was a vixen when she went to school, And though she be but little, she is fierce.""";
"#Helena_MND,""#Demetrius_MND"",0.511352166821935,14,""I charge thee, hence, and do not haunt me thus."",""Stay, though thou kill me, sweet Demetrius.""";
"#Helena_MND,""#Demetrius_MND"",0.521840397559648,50,""Nay, then, thou mock'st me."",""Can you not hate me, as I know you do, But you must join in souls to mock me too?""";
"#Helena_MND,""#Demetrius_MND"",0.53065085229273,43,""No, sir, she shall not, though you take her part."",""I pray you, though you mock me, gentlemen, Let her not hurt me.""";
"#Helena_MND,""#Demetrius_MND"",0.554465987260762,47,""Thou runaway, thou coward, art thou fled?"",""Stay, though thou kill me, sweet Demetrius.""";
"#Helena_MND,""#Demetrius_MND"",0.566922320518605,56,""To her, my lord, Was I betrothed ere I saw Hermia."",""For, ere Demetrius looked on Hermia's eyne, He hailed down oaths that he was only mine";" And when this hail some heat from Hermia felt, So he dissolved, and show'rs of oaths did melt."""
"#Helena_MND,""#Demetrius_MND"",0.64709716203337,36,""I say I love thee more than he can do."",""The more I love, the more he hateth me.""";
"#Lysander_MND,""#Demetrius_MND"",0.546553485023381,45,""For if thou dost intend Never so little show of love to her, Thou shalt aby it."",""If thou lovest me, then Steal forth thy father's house tomorrow night, And in the wood a league without the town (Where I did meet thee once with Helena To do observance to a morn of May), There will I stay for thee.""";
"#Lysander_MND,""#Demetrius_MND"",0.556578410855295,56,""To her, my lord, Was I betrothed ere I saw Hermia."",""Be not so, For you love Hermia";" this you know I know."""
"#Lysander_MND,""#Demetrius_MND"",0.574317446255931,32,""My heart to her but as guest-wise sojourned, And now to Helen is it home returned, There to remain."",""And, all my powers, address your love and might To honor Helen and to be her knight.""";
"#Lysander_MND,""#Demetrius_MND"",0.581915434024204,69,""Not so, my lord, for his valor cannot carry his discretion, and the fox carries the goose."",""This lion is a very fox for his valor.""";
"#Lysander_MND,""#Demetrius_MND"",0.588850331368485,11,""I'll run from thee and hide me in the brakes And leave thee to the mercy of wild beasts."",""If thou lovest me, then Steal forth thy father's house tomorrow night, And in the wood a league without the town (Where I did meet thee once with Helena To do observance to a morn of May), There will I stay for thee.""";
"#Lysander_MND,""#Demetrius_MND"",0.595435547325835,6,""Hence, get thee gone, and follow me no more."",""If thou lovest me, then Steal forth thy father's house tomorrow night, And in the wood a league without the town (Where I did meet thee once with Helena To do observance to a morn of May), There will I stay for thee.""";
"#Lysander_MND,""#Demetrius_MND"",0.6033524984561,2,""I love thee not";" therefore pursue me not."",""If thou lovest me, then Steal forth thy father's house tomorrow night, And in the wood a league without the town (Where I did meet thee once with Helena To do observance to a morn of May), There will I stay for thee."""
"#Lysander_MND,""#Demetrius_MND"",0.615189571952675,36,""I say I love thee more than he can do."",""I swear by that which I will lose for thee, To prove him false that says I love thee not.""";
"#Lysander_MND,""#Demetrius_MND"",0.626202904480215,13,""Let me go, Or if thou follow me, do not believe But I shall do thee mischief in the wood."",""If thou lovest me, then Steal forth thy father's house tomorrow night, And in the wood a league without the town (Where I did meet thee once with Helena To do observance to a morn of May), There will I stay for thee.""";
"#Lysander_MND,""#Demetrius_MND"",0.633370447496627,55,""But, my good lord, I wot not by what power (But by some power it is) my love to Hermia, Melted as the snow, seems to me now As the remembrance of an idle gaud Which in my childhood I did dote upon, And all the faith, the virtue of my heart, The object and the pleasure of mine eye, Is only Helena."",""And yours of Helena to me bequeath, Whom I do love and will do till my death.""";
