"source,""target"",""similarity"",""setnence_num_target"",""target_sent"",""source_sent""";
"#Hermia_MND,""#Helena_MND"",0.267283228395783,79,""Lo, she is one of this confederacy!"",""What a dream was here!""";
"#Hermia_MND,""#Helena_MND"",0.269591694576883,88,""Our sex, as well as I, may chide you for it, Though I alone do feel the injury."",""I know not by what power I am made bold, Nor how it may concern my modesty In such a presence here to plead my thoughts";" But I beseech your Grace that I may know The worst that may befall me in this case If I refuse to wed Demetrius."""
"#Hermia_MND,""#Helena_MND"",0.273892181245747,78,""Never did mockers waste more idle breath."",""An adder did it, for with doubler tongue Than thine, thou serpent, never adder stung.""";
"#Hermia_MND,""#Helena_MND"",0.274247586205821,116,""I will not trust you, I, Nor longer stay in your curst company."",""You, mistress, all this coil is long of you.""";
"#Hermia_MND,""#RobinGoodfellow_MND"",0.175953131477004,61,""Two of both kinds makes up four."",""Nothing but ""low"" and ""little""?""";
"#Hermia_MND,""#RobinGoodfellow_MND"",0.193016216346605,43,""That must needs be sport alone."",""But, gentle friend, for love and courtesy, Lie further off in human modesty.""";
"#Hermia_MND,""#RobinGoodfellow_MND"",0.201021253520105,21,""I'll be an auditor -  An actor too perhaps, if I see cause."",""Either death or you I'll find immediately.""";
"#Hermia_MND,""#RobinGoodfellow_MND"",0.203516290220926,36,""This is the woman, but not this the man."",""O hell, to choose love by another's eyes!""";
"#Hermia_MND,""#RobinGoodfellow_MND"",0.219779797837055,23,""I'll lead you about a round, Through bog, through bush, through brake, through brier."",""Find you out a bed, For I upon this bank will rest my head.""";
"#Hermia_MND,""#RobinGoodfellow_MND"",0.230544614945563,42,""Then will two at once woo one."",""Henceforth be never numbered among men.""";
"#Hermia_MND,""#RobinGoodfellow_MND"",0.245332190130742,20,""What hempen homespuns have we swagg'ring here So near the cradle of the Fairy Queen?"",""Then let us teach our trial patience Because it is a customary cross, As due to love as thoughts and dreams and sighs, Wishes and tears, poor fancy's followers.""";
"#Hermia_MND,""#RobinGoodfellow_MND"",0.252658458062072,10,""I'll put a girdle round about the Earth In forty minutes."",""Lysander and myself will fly this place.""";
"#Hermia_MND,""#RobinGoodfellow_MND"",0.25710979589907,63,""Cupid is a knavish lad Thus to make poor females mad."",""What love could press Lysander from my side?""";
"#Hermia_MND,""#RobinGoodfellow_MND"",0.26698108377405,28,""When I did him at this advantage take, An ass's noll I fixèd on his head."",""Find you out a bed, For I upon this bank will rest my head.""";
"#Hermia_MND,""#Oberon_MND"",0.207983675363246,8,""How long within this wood intend you stay?"",""And in the wood where often you and I Upon faint primrose beds were wont to lie, Emptying our bosoms of their counsel sweet, There my Lysander and myself shall meet And thence from Athens turn away our eyes To seek new friends and stranger companies.""";
"#Hermia_MND,""#Oberon_MND"",0.257135836945193,95,""And the owner of it blest, Ever shall in safety rest."",""So will I grow, so live, so die, my lord, Ere I will yield my virgin patent up Unto his Lordship whose unwishèd yoke My soul consents not to give sovereignty.""";
"#Hermia_MND,""#Oberon_MND"",0.26869478158735,43,""This falls out better than I could devise."",""I know not by what power I am made bold, Nor how it may concern my modesty In such a presence here to plead my thoughts";" But I beseech your Grace that I may know The worst that may befall me in this case If I refuse to wed Demetrius."""
"#Hermia_MND,""#Oberon_MND"",0.273776246141947,23,""I am invisible, And I will overhear their conference."",""Take comfort: he no more shall see my face.""";
"#Hermia_MND,""#Oberon_MND"",0.274913265827507,41,""I wonder if Titania be awaked";" Then what it was that next came in her eye, Which she must dote on in extremity."",""Before the time I did Lysander see Seemed Athens as a paradise to me."""
"#Hermia_MND,""#Oberon_MND"",0.275564180057761,29,""And there the snake throws her enameled skin, Weed wide enough to wrap a fairy in."",""So will I grow, so live, so die, my lord, Ere I will yield my virgin patent up Unto his Lordship whose unwishèd yoke My soul consents not to give sovereignty.""";
"#Hermia_MND,""#Oberon_MND"",0.275694075127828,52,""Flower of this purple dye, Hit with Cupid's archery, Sink in apple of his eye."",""My good Lysander, I swear to thee by Cupid's strongest bow, By his best arrow with the golden head, By the simplicity of Venus' doves, By that which knitteth souls and prospers loves, And by that fire which burned the Carthage queen When the false Trojan under sail was seen, By all the vows that ever men have broke (In number more than ever women spoke), In that same place thou hast appointed me, Tomorrow truly will I meet with thee.""";
"#Hermia_MND,""#Oberon_MND"",0.2779107209848,68,""We may effect this business yet ere day."",""We must starve our sight From lovers' food till morrow deep midnight.""";
"#Hermia_MND,""#Oberon_MND"",0.280151137110092,49,""All fancy-sick she is and pale of cheer With sighs of love that costs the fresh blood dear."",""Such separation, as may well be said, Becomes a virtuous bachelor and a maid.""";
"#Hermia_MND,""#Oberon_MND"",0.283362561929806,42,""What night-rule now about this haunted grove?"",""We must starve our sight From lovers' food till morrow deep midnight.""";
